
//=================================================================================================================================================================================================================================================================================================================
//DW
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed    MaxSpeed    MaxDelay	MaxCount    Comment
44				106			*			1000		10			//Moon Slash
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
232				000			105			1000		2			//Explotion ChemBang
232				106			*			1000		4			//Explotion ChemBang

337				000			105			1000		2			//Explotion ChemBang Master 1
337				106			*			1000		4			//Explotion ChemBang Master 1
340				000			105			1000		2			//Explotion ChemBang Master 2
340				106			*			1000		4			//Explotion ChemBang Master 2
343				000			105			1000		2			//Explotion ChemBang Master 3
343				106			*			1000		4			//Explotion ChemBang Master 3
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
//48				000			*			1000		1			//Greater Life
//356				000			*			1000		2			//Greater Life Master
//360				000			*			1000		2			//Greater Life Master 2
//=================================================================================================================================================================================================================================================================================================================
//ELF
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
24				000			250			1000		40			//Triple Shot
24				251			500		    1000		45			//Triple Shot
24				501		    1000		1000		50			//Triple Shot
24				1001		*		    1000		50			//Triple Shot
414				000			250			1000		40			//Triple Shot Master 1
414				251			500		    1000		45			//Triple Shot Master 1
414				501		    1000		1000		50			//Triple Shot Master 1
414				1001		*		    1000		50			//Triple Shot Master 1
418				000			250			1000		40			//Triple Shot Master 2
418				251			500		    1000		45			//Triple Shot Master 2
418				501		    1000		1000		50			//Triple Shot Master 2
418				1001		*		    1000		50			//Triple Shot Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
235				000			250			1000		35			//Five Shot   
235				251			500		    1000		45			//Five Shot
235				501		    1000		1000		60			//Five Shot
235				1001		*   		1000		60			//Five Shot
411				000			250			1000		35			//Five Shot Master 1
411				251			500		    1000		45			//Five Shot Master 1
411				501		    1000		1000		60			//Five Shot Master 1
411				1001		*   		1000		60			//Five Shot Master 1
431				000			250			1000		35			//Five Shot Master 2
431				251			500		    1000		45			//Five Shot Master 2
431				501		    1000		1000		60			//Five Shot Master 2
431				1001		*   		1000		60			//Five Shot Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
264				000			250			1000		5			//Heal
264				501		    *			1000		8			//Heal 
413				000			250			1000		5			//Heal Master 1
413				501			*			1000		8			//Heal Master 1
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
46				000			250			1000		15			//Starfall
46				251			500		    1000		20			//Starfall
46				1001		*			1000		25			//Starfall
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
52				000			250			1000		20			//Penetration
52				251			500		    1000		30			//Penetration
52				501		    1000		1000		35			//Penetration
52				1001		*		    1000		40			//Penetration
416				000			250			1000		20			//Penetration Master 1
416				251			500		    1000		30			//Penetration Master 1
416				501		    1000		1000		35			//Penetration Master 1
416				1001		*		    1000		40			//Penetration Master 1
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
51				000			250			1000		3			//Ice Arrow
51				501			*			1000		5			//Ice Arrow
424				000			250			1000		3			//Ice Arrow Master 1
424				501			*			1000		5			//Ice Arrow Master 1
//=================================================================================================================================================================================================================================================================================================================
//SM
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
214				000			250			1000		15			//Drain Life
214				251			500		    1000		25			//Drain Life
214				501		    1000		1000		30			//Drain Life
214				1001		*   		1000		40			//Drain Life
458				000			250			1000		15			//Drain Life Master 1
458				251			500		    1000		25			//Drain Life Master 1
458				501		    1000		1000		30			//Drain Life Master 1
458				1001		*   		1000		40			//Drain Life Master 1
462				000			250			1000		15			//Drain Life Master 2
462				251			500		    1000		25			//Drain Life Master 2
462				501		    1000		1000		30			//Drain Life Master 2
462				1001		*	    	1000		40			//Drain Life Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
215				000			250			1000		15			//Chain Lightning
215				251			500		    1000		20			//Chain Lightning
215				501		    1000		1000		30			//Chain Lightning
215				1001		*			1000		40			//Chain Lightning
455				000			250			1000		15			//Chain Lightning Master
455				251			500		    1000		20			//Chain Lightning Master
455				501		    1000		1000		30			//Chain Lightning Master
455				1001		*			1000		40			//Chain Lightning Master
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
216				000			250			1000		8			//Electric Surge
216				251			500		    1000		10			//Electric Surge
216				501		    1000		1000		20			//Electric Surge
216				3001		1000		1000		25			//Electric Surge
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
230				000			250			1000		20			//Red Storm
230				251			500		    1000		30			//Red Storm
230				501		    1000		1000		40			//Red Storm
230				1001		*		    1000		50			//Red Storm
456				000			250			1000		20			//Red Storm Master 1
456				251			500		    1000		30			//Red Storm Master 1
456				501		    1000		1000		40			//Red Storm Master 1
456				1001		*		    1000		50			//Red Storm Master 1

//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
223				000			250			1000		5			//Sahamutt
223				251			500		    1000		8			//Sahamutt
223				501		    1000		1000		15			//Sahamutt
223				1001		*   		1000		20			//Sahamutt
//=================================================================================================================================================================================================================================================================================================================
//MG
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
55				000			250			1000		20			//Fire Slash
55				251			500		    1000		25			//Fire Slash
55				501		    1000		1000		30			//Fire Slash
55				1001		*		    1000		35			//Fire Slash

490				000			250			1000		20			//Fire Slash Master 1
490				251			500		    1000		25			//Fire Slash Master 1
490				501		    1000		1000		30			//Fire Slash Master 1
490				1001		*		    1000		35			//Fire Slash Master 1

493				000			250			1000		20			//Fire Slash Master 2
493				251			500		    1000		25			//Fire Slash Master 2
493				501		    1000		1000		30			//Fire Slash Master 2
493				1001		*		    1000		35			//Fire Slash Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
236				000			250			1000		20			//Flame Strike
236				251			500		    1000		30			//Flame Strike
236				501		    1000		1000		35			//Flame Strike
236				1001		*		    1000		40			//Flame Strike

492				000			250			1000		10			//Flame Strike Master 1
492				251			500		    1000		13			//Flame Strike Master 1
492				501		    1000		1000		16			//Flame Strike Master 1
492				1001		*		    1000		20			//Flame Strike Master 1

494				000			250			1000		10			//Flame Strike Master 2
494				251			500		    1000		13			//Flame Strike Master 2
494				501		    1000		1000		16			//Flame Strike Master 2
494				1001		*		    1000		20			//Flame Strike Master 2

//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
237				000			250			1000		10			//GIGANT STORM
237				251			500		    1000		13			//GIGANT STORM
237				501		    1000		1000		16			//GIGANT STORM
237				1001		*		    1000		20			//GIGANT STORM

//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
56				000			250			1000		10			//SKILL ARMA
56				251			500		    1000		13			//SKILL ARMA
56				501		    1000		1000		16			//SKILL ARMA
56				1001		*		    1000		20			//SKILL ARMA



//=================================================================================================================================================================================================================================================================================================================
//DL
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
238				000			250			1000		20			//Birds
238				251			500		    1000		30  		//Birds
238				501		    1000		1000		40			//Birds
238				1001		*		    1000		50			//Birds
523				000			250			1000		20			//Birds Master 1 
523				251			500		    1000		30  		//Birds Master 1
523				501		    1000		1000		40			//Birds Master 1
523				1001		*		    1000		50			//Birds Master 1
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
61				000			250			1000		10			//Fire Burst
61				501			*			1000		12			//Fire Burst
508				000			250			1000		10			//Fire Burst Master 1
508				501			*			1000		12			//Fire Burst Master 1
514				000			250			1000		10			//Fire Burst Master 2
514				501			*			1000		12			//Fire Burst Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
78				000			250			1000		20			//Fire Scream
78				251			500		    1000		25			//Fire Scream
78				501		    1000		1000		30			//Fire Scream
78				1001		*		    1000		35			//Fire Scream

518				000			250			1000		20			//Fire Scream Master 1
518				251			500		    1000		25			//Fire Scream Master 1
518				501		    1000		1000		30			//Fire Scream Master 1
518				1001		*		    1000		35			//Fire Scream Master 1

520				000			250			1000		20			//Fire Scream Master 2 
520				251			500		    1000		25			//Fire Scream Master 2
520				501		    1000		1000		30			//Fire Scream Master 2
520				1001		*		    1000		35			//Fire Scream Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
74				000			250			1000		10          //Fire Blast
74				251			500		    1000		20          //Fire Blast
74				501		    *   		1000		30          //Fire Blast
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
60				000			250			1000		5          //Force
60				501			*		    1000		10         //Force
//=================================================================================================================================================================================================================================================================================================================
//RF
//=================================================================================================================================================================================================================================================================================================================
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
260             000			250			1000		3			//Large Ring Blower
260             501			*			1000		5			//Large Ring Blower
551             000			250			1000		3			//Large Ring Blower Master 1
551             501			*			1000		5			//Large Ring Blower Master 1
554             000			250			1000		3			//Large Ring Blower Master 2
554             501			*			1000		5			//Large Ring Blower Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
261				000			250			1000		6			//Upper Beast
261				500			1000		1000		8			//Upper Beast
261				1000		3000		1000		10			//Upper Beast
261				1001		*		    1000		15			//Upper Beast
552				000			250			1000		6			//Upper Beast Master 1
552				500			1000		1000		8			//Upper Beast Master 1
552				1000		3000		1000		10			//Upper Beast Master 1
552				1001		*		    1000		15			//Upper Beast Master 1
555				000			250			1000		6			//Upper Beast Master 2
555				500			1000		1000		8			//Upper Beast Master 2
555				1000		3000		1000		10			//Upper Beast Master 2
555				1001		*		    1000		15			//Upper Beast Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
262				000			250			1000		4			//Chain Driver
262				501			*			1000		5			//Chain Driver
558				000			250			1000		4			//Chain Driver Master 1
558				501			*			1000		5			//Chain Driver Master 1
562				000			250			1000		4			//Chain Driver Master 2
562				501			*			1000		5			//Chain Driver Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
263				000			250			1000		10			//Dark Side
263				251			500		    1000		15			//Dark Side
263				501		    1000		1000		20			//Dark Side
263				1001		*		    1000		25			//Dark Side

559				000			250			1000		10			//Dark Side Master 1
559				251			500		    1000		15			//Dark Side Master 1
559				501		    1000		1000		20			//Dark Side Master 1
559				1001		*		    1000		25			//Dark Side Master 1

563				000			250			1000		10			//Dark Side Master 2
563				251			500		    1000		15			//Dark Side Master 2
563				501		    1000		1000		20			//Dark Side Master 2
563				1001		*		    1000		25			//Dark Side Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
264				000			250			1000		4			//Dragon Lore
264				501			*			1000		5			//Dragon Lore
560				000			250			1000		4			//Dragon Lore Master 1
560				501			*			1000		5			//Dragon Lore Master 1
561				000			250			1000		4			//Dragon Lore Masster 2
561				501			*			1000		5			//Dragon Lore Masster 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment
265				000			250			1000		4			//Dragon Slayer
265				501			*			1000		5			//Dragon Slayer
564				000			250			1000		4			//Dragon Slayer Master 1
564				501			*			1000		5			//Dragon Slayer Master 1
566				000			250			1000		4			//Dragon Slayer Master 2
566				501			*			1000		5			//Dragon Slayer Master 2
//SkillIndex  	MinSpeed	MaxSpeed	MaxDelay	MaxCount	Comment     
270             000			250			1000		4	        //Phoenix Shot
270             501			*			1000		5	        //Phoenix Shot		
end


