0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Gold Medal"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           10     9          11           1       1      1        0
0           15     9          11           1       1      1        0
0           12     9          11           1       1      1        0
1           7      9          11           1       1      1        0
2           9      9          11           1       1      1        0
4           3      9          11           1       1      1        0
0           13     9          11           1       1      1        0
0           11     9          11           1       1      1        0
4           4      9          11           1       1      1        0
4           10     9          11           1       1      1        0
4           11     9          11           1       1      1        0
6           1      9          11           1       1      1        0
6           2      9          11           1       1      1        0
6           4      9          11           1       1      1        0
6           5      9          11           1       1      1        0
end
