//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   CustomAttack     NonCustomAttack  PkDropItem  LevelUp  LevelUpMaster  OffHelpe    AntiAfk    Terrain   Comment
56        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "SwampOfCalmness.att"    "Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0            1                   0                0           1           1            1        1      "Raklion.att"    "Raklion 1"
58        *       12          100              100            1000              0                 1                1              0            1                   0                0           1           1            1        1      "RaklionBoss.att"    "Raklion 2"
62        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "SantaTown.att"    "Santa Town"
63        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Vulcanus.att"    "Vulcanus"
64        *       12          100              100            1000              0                 0                0              0            1                   1                0           1           1            1        1      "DuelArena.att"    "Duel Arena"
65        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "Doppelganger1.att"    "Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "Doppelganger2.att"    "Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "Doppelganger3.att"    "Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "Doppelganger4.att"    "Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "ImperialGuardian1.att"    "Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "ImperialGuardian2.att"    "Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "ImperialGuardian3.att"    "Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0            1                   1                0           1           1            1        1      "ImperialGuardian4.att"    "Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "LorenMarket.att"   "Loren Market"
80        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Karutan1.att"    "Karutan 1"
81        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Karutan2.att"    "Karutan 2"
82        *       12          100              100            1000              0                 0                1              0            1                   0                0           1           1            1        1      "Event.att"    "Event"
end
